记录测试时间，测试总数，pass数量，失败数量 用‘=’拼接
2017-10-16 20:54:56.323951=3=3=0 
2020-11-22 11:19:17.653613=2=0=2 
2020-11-22 11:19:55.276935=2=0=2 
2020-11-22 11:20:03.408231=2=0=2 
2020-11-22 11:20:22.107504=2=0=2 
2022-01-15 13:37:10.453363=2=0=2 
2022-01-15 13:37:53.945016=2=0=2 
2022-01-15 13:38:07.907832=2=0=2 
2022-01-15 13:38:16.052044=2=0=2 
2022-01-15 13:39:41.019636=2=0=2 
2022-01-15 13:39:51.378087=2=0=2 
2022-01-15 13:40:33.036679=2=0=2 
2022-04-22 17:22:26.808171=2=0=2
2023-02-19 18:06:12.486185=2=0=2 
2023-02-19 18:06:17.821946=2=0=2 
